Base
6	5	100
7
0	15	1305.77	2381.69	2
1	15	1400.06	2260	1
2	19	2540	1343.57	4
3	19	3800	1500	1
4	14	3040	1576.25	3
5	20	2452.95	860	4
6	0	2376.64	851	5
40	30
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	1186c03	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1186c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	1186c03	0	1186c03	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	1186c03	1186c03	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	1186c03	1186c03	0	0	0	0	e006	
e006	0	0	0	0	0	1186c03	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	1186c03	1186c03	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	1186c03	1186c03	0	1106801	1106801	3000	3000	3000	3000	3000	3000	3000	3000	1106801	1106801	0	0	1000000	1000000	0	0	0	0	e006	
e006	0	0	0	0	0	1186c03	0	0	1106801	1106801	1105702	1105702	1105702	1105702	1105702	1105702	1105702	1105702	1106801	1106801	0	0	1000000	1000000	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	0	1186c03	0	0	e006	
e006	0	0	0	0	0	0	0	1000000	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	0	1186c03	0	0	e006	
e006	0	0	0	0	0	0	1000000	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	11000	11000	11000	11000	11000	11000	11000	11000	1106801	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1000000	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
