Town
-1	-1	120
3
0	24	1860	300	1
1	23	913	227.96	1
2	25	428.599	866.984	1
20	12
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	1186c03	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1006804	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	1186c03	0	e006	
e006	0	200e00b	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	200e00b	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
